iter	Passed	Remaining
0	12	23221
1	25	23560
2	37	23318
3	49	23213
4	63	23947
5	75	23583
6	89	23915
7	105	24692
8	117	24525
9	131	24592
10	144	24700
11	158	24696
12	171	24671
13	186	24863
14	199	24893
15	213	24917
16	225	24768
17	238	24699
18	249	24539
19	259	24219
20	270	24020
21	280	23779
22	292	23640
23	302	23449
24	312	23260
25	321	23012
26	331	22781
27	340	22574
28	350	22450
29	360	22313
30	371	22225
31	381	22088
32	393	22070
33	402	21924
34	412	21791
35	423	21736
36	430	21510
37	441	21442
38	451	21390
39	462	21323
40	473	21310
41	484	21244
42	494	21191
43	505	21156
44	515	21096
45	525	21023
46	533	20860
47	544	20851
48	555	20832
49	565	20743
50	576	20731
51	587	20707
52	595	20597
53	603	20479
54	611	20360
55	622	20320
56	630	20218
57	642	20227
58	650	20139
59	661	20120
60	670	20037
61	679	19987
62	690	19977
63	701	19949
64	709	19869
65	721	19877
66	732	19867
67	742	19841
68	752	19794
69	762	19757
70	773	19751
71	782	19696
72	790	19625
73	802	19633
74	815	19684
